PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34330278","Quantum algorithm for quicker clinical prognostic analysis: an application and experimental study using CT scan images of COVID-19 patients","Sengupta K, Srivastava PR.","BMC Med Inform Decis Mak. 2021 Jul 30;21(1):227. doi: 10.1186/s12911-021-01588-6.","Sengupta K","BMC Med Inform Decis Mak","2021","2021/07/31","PMC8323083","","10.1186/s12911-021-01588-6"
"34311742","Self-supervised deep learning model for COVID-19 lung CT image segmentation highlighting putative causal relationship among age, underlying disease and COVID-19","Fung DLX, Liu Q, Zammit J, Leung CK, Hu P.","J Transl Med. 2021 Jul 26;19(1):318. doi: 10.1186/s12967-021-02992-2.","Fung DLX","J Transl Med","2021","2021/07/27","PMC8312213","","10.1186/s12967-021-02992-2"
"34306171","Analysis of DNA Sequence Classification Using CNN and Hybrid Models","Gunasekaran H, Ramalakshmi K, Rex Macedo Arokiaraj A, Deepa Kanmani S, Venkatesan C, Suresh Gnana Dhas C.","Comput Math Methods Med. 2021 Jul 15;2021:1835056. doi: 10.1155/2021/1835056. eCollection 2021.","Gunasekaran H","Comput Math Methods Med","2021","2021/07/26","PMC8285202","","10.1155/2021/1835056"
"34291025","Exploring Feasibility of Multivariate Deep Learning Models in Predicting COVID-19 Epidemic","Chen S, Paul R, Janies D, Murphy K, Feng T, Thill JC.","Front Public Health. 2021 Jul 5;9:661615. doi: 10.3389/fpubh.2021.661615. eCollection 2021.","Chen S","Front Public Health","2021","2021/07/22","PMC8287417","","10.3389/fpubh.2021.661615"
"34279835","Deep Learning Analysis in Prediction of COVID-19 Infection Status Using Chest CT Scan Features","Pourhoseingholi A, Vahedi M, Chaibakhsh S, Pourhoseingholi MA, Vahedian-Azimi A, Guest PC, Rahimi-Bashar F, Sahebkar A.","Adv Exp Med Biol. 2021;1327:139-147. doi: 10.1007/978-3-030-71697-4_11.","Pourhoseingholi A","Adv Exp Med Biol","2021","2021/07/19","","","10.1007/978-3-030-71697-4_11"
"34267316","DeepEMhancer: a deep learning solution for cryo-EM volume post-processing","Sanchez-Garcia R, Gomez-Blanco J, Cuervo A, Carazo JM, Sorzano COS, Vargas J.","Commun Biol. 2021 Jul 15;4(1):874. doi: 10.1038/s42003-021-02399-1.","Sanchez-Garcia R","Commun Biol","2021","2021/07/16","PMC8282847","","10.1038/s42003-021-02399-1"
"34253822","Deep learning for COVID-19 detection based on CT images","Zhao W, Jiang W, Qiu X.","Sci Rep. 2021 Jul 12;11(1):14353. doi: 10.1038/s41598-021-93832-2.","Zhao W","Sci Rep","2021","2021/07/13","PMC8275612","","10.1038/s41598-021-93832-2"
"34253768","COUnty aggRegation mixup AuGmEntation (COURAGE) COVID-19 prediction","Er S, Yang S, Zhao T.","Sci Rep. 2021 Jul 12;11(1):14262. doi: 10.1038/s41598-021-93545-6.","Er S","Sci Rep","2021","2021/07/13","PMC8275764","","10.1038/s41598-021-93545-6"
"34253751","Deep learning identifies antigenic determinants of severe SARS-CoV-2 infection within T-cell repertoires","Sidhom JW, Baras AS.","Sci Rep. 2021 Jul 12;11(1):14275. doi: 10.1038/s41598-021-93608-8.","Sidhom JW","Sci Rep","2021","2021/07/13","PMC8275616","","10.1038/s41598-021-93608-8"
"34241100","Deep learning applied to lung ultrasound videos for scoring COVID-19 patients: A multicenter study","Mento F, Perrone T, Fiengo A, Smargiassi A, Inchingolo R, Soldati G, Demi L.","J Acoust Soc Am. 2021 May;149(5):3626. doi: 10.1121/10.0004855.","Mento F","J Acoust Soc Am","2021","2021/07/09","","","10.1121/10.0004855"
"34239548","Detecting COVID-19 in Chest X-Ray Images via MCFF-Net","Wang W, Li Y, Li J, Zhang P, Wang X.","Comput Intell Neurosci. 2021 Jun 18;2021:3604900. doi: 10.1155/2021/3604900. eCollection 2021.","Wang W","Comput Intell Neurosci","2021","2021/07/09","PMC8214492","","10.1155/2021/3604900"
"34235005","Automated Diagnosis of COVID-19 Using Deep Features and Parameter Free BAT Optimization","Kaur T, Gandhi TK, Panigrahi BK.","IEEE J Transl Eng Health Med. 2021 May 3;9:1800209. doi: 10.1109/JTEHM.2021.3077142. eCollection 2021.","Kaur T","IEEE J Transl Eng Health Med","2021","2021/07/08","PMC8248768","","10.1109/JTEHM.2021.3077142"
"34206540","Deep Learning-Based Stroke Disease Prediction System Using Real-Time Bio Signals","Choi YA, Park SJ, Jun JA, Pyo CS, Cho KH, Lee HS, Yu JH.","Sensors (Basel). 2021 Jun 22;21(13):4269. doi: 10.3390/s21134269.","Choi YA","Sensors (Basel)","2021","2021/07/02","PMC8271462","","10.3390/s21134269"
"34194681","Artificial Neural Network-Based Deep Learning Model for COVID-19 Patient Detection Using X-Ray Chest Images","Shorfuzzaman M, Masud M, Alhumyani H, Anand D, Singh A.","J Healthc Eng. 2021 Jun 5;2021:5513679. doi: 10.1155/2021/5513679. eCollection 2021.","Shorfuzzaman M","J Healthc Eng","2021","2021/07/01","PMC8184332","","10.1155/2021/5513679"
